date,obs_fraction
2021-06-23,0.210693
2021-06-24,0.214600
2021-06-25,0.215088
2021-06-28,0.213379
2021-06-29,0.206787
2021-06-30,0.209961
2021-07-01,0.225098
2021-07-02,0.224609
2021-07-06,0.218750
2021-07-07,0.215576
2021-07-08,0.221924
2021-07-09,0.226562
2021-07-12,0.225098
2021-07-13,0.217041
2021-07-14,0.215332
2021-07-15,0.217041
2021-07-16,0.220703
2021-07-19,0.217529
2021-07-20,0.205322
2021-07-21,0.211426
2021-07-22,0.209473
2021-07-23,0.210205
2021-07-26,0.207275
2021-07-27,0.205811
2021-07-28,0.204590
2021-07-29,0.210938
2021-07-30,0.208740
2021-08-02,0.212646
2021-08-03,0.206299
2021-08-04,0.206787
2021-08-05,0.210938
2021-08-06,0.212646
2021-08-09,0.200439
2021-08-10,0.201660
2021-08-11,0.206055
2021-08-12,0.208252
2021-08-13,0.205322
2021-08-16,0.198730
2021-08-17,0.188721
2021-08-18,0.203369
2021-08-19,0.200195
2021-08-20,0.192139
2021-08-23,0.193604
2021-08-24,0.181885
2021-08-25,0.183594
2021-08-26,0.187500
2021-08-27,0.191650
2021-08-30,0.191162
2021-08-31,0.182373
2021-09-01,0.182617
2021-09-02,0.182129
2021-09-03,0.186035
2021-09-07,0.175537
2021-09-08,0.177246
2021-09-09,0.185059
2021-09-10,0.189941
2021-09-13,0.186035
2021-09-14,0.178955
2021-09-15,0.181152
2021-09-16,0.185303
2021-09-17,0.193604
2021-09-20,0.194580
2021-09-21,0.195557
2021-09-22,0.191162
2021-09-23,0.189209
2021-09-24,0.197510
2021-09-27,0.187012
2021-09-28,0.194824
2021-09-29,0.195312
2021-09-30,0.197510
2021-10-01,0.209229
2021-10-04,0.209229
2021-10-05,0.198242
2021-10-06,0.200928
2021-10-07,0.203613
2021-10-08,0.204102
2021-10-11,0.207520
2021-10-12,0.202881
2021-10-13,0.202148
2021-10-14,0.196533
2021-10-15,0.195557
2021-10-18,0.188965
2021-10-19,0.185303
2021-10-20,0.182373
2021-10-21,0.186279
2021-10-22,0.187744
2021-10-25,0.176270
2021-10-26,0.183350
2021-10-27,0.203125
2021-10-28,0.208984
2021-10-29,0.212158
2021-11-01,0.211182
2021-11-02,0.203857
2021-11-03,0.204346
2021-11-04,0.206299
2021-11-05,0.214111
2021-11-08,0.207275
2021-11-09,0.206055
2021-11-10,0.210205
2021-11-11,0.208740
2021-11-12,0.202637
2021-11-15,0.191162
2021-11-16,0.189209
2021-11-17,0.198242
2021-11-18,0.194580
2021-11-19,0.191406
2021-11-22,0.189209
2021-11-23,0.189453
2021-11-24,0.188965
2021-11-26,0.195312
2021-11-29,0.194580
2021-11-30,0.190186
2021-12-01,0.193115
2021-12-02,0.194092
2021-12-03,0.196289
2021-12-06,0.184814
2021-12-07,0.185059
2021-12-08,0.186279
2021-12-09,0.187012
2021-12-10,0.192139
2021-12-13,0.184326
2021-12-14,0.182373
2021-12-15,0.179688
2021-12-16,0.194336
2021-12-17,0.184570
2021-12-20,0.192383
2021-12-21,0.186768
2021-12-22,0.185791
2021-12-23,0.184326
2021-12-27,0.182861
2021-12-28,0.184570
2021-12-29,0.177979
2021-12-30,0.175537
2021-12-31,0.186035
2022-01-03,0.193359
2022-01-04,0.185303
2022-01-05,0.195068
2022-01-06,0.182617
2022-01-07,0.199219
2022-01-10,0.193848
2022-01-11,0.188965
2022-01-12,0.183838
2022-01-13,0.192139
2022-01-14,0.188477
2022-01-18,0.181885
2022-01-19,0.186768
2022-01-20,0.203369
2022-01-21,0.204346
2022-01-24,0.213623
2022-01-25,0.217041
2022-01-26,0.222412
2022-01-27,0.225098
2022-01-28,0.229492
2022-01-31,0.222168
2022-02-01,0.220703
2022-02-02,0.217285
2022-02-03,0.222656
2022-02-04,0.225342
2022-02-07,0.222900
2022-02-08,0.217041
2022-02-09,0.210449
2022-02-10,0.226318
2022-02-11,0.220215
2022-02-14,0.216309
2022-02-15,0.204834
2022-02-16,0.218262
2022-02-17,0.206787
2022-02-18,0.206299
2022-02-22,0.198975
2022-02-23,0.200195
2022-02-24,0.208496
2022-02-25,0.204346
2022-02-28,0.214844
2022-03-01,0.209961
2022-03-02,0.206543
2022-03-03,0.212891
2022-03-04,0.213623
2022-03-07,0.215332
2022-03-08,0.213135
2022-03-09,0.212402
2022-03-10,0.214844
2022-03-11,0.229004
2022-03-14,0.225830
2022-03-15,0.218750
2022-03-16,0.215332
2022-03-17,0.219238
2022-03-18,0.214844
2022-03-21,0.213623
2022-03-22,0.208496
2022-03-23,0.215576
2022-03-24,0.212891
2022-03-25,0.217041
2022-03-28,0.200684
2022-03-29,0.205566
2022-03-30,0.206299
2022-03-31,0.208984
2022-04-01,0.228760
2022-04-04,0.222168
2022-04-05,0.216309
2022-04-06,0.218750
2022-04-07,0.226318
2022-04-08,0.219482
2022-04-11,0.225098
2022-04-12,0.217041
2022-04-13,0.221436
2022-04-14,0.218018
2022-04-18,0.213623
2022-04-19,0.205078
2022-04-20,0.208252
2022-04-21,0.215332
2022-04-22,0.217773
2022-04-25,0.214355
2022-04-26,0.213379
2022-04-27,0.213135
2022-04-28,0.214355
2022-04-29,0.218506
2022-05-02,0.220947
2022-05-03,0.212891
2022-05-04,0.214600
2022-05-05,0.224365
2022-05-06,0.222656
2022-05-09,0.224365
2022-05-10,0.223389
2022-05-11,0.230713
2022-05-12,0.231689
2022-05-13,0.229980
2022-05-16,0.232666
2022-05-17,0.224854
2022-05-18,0.235840
2022-05-19,0.224365
2022-05-20,0.224609
2022-05-23,0.226807
2022-05-24,0.214355
2022-05-25,0.213379
2022-05-26,0.214600
2022-05-27,0.227783
2022-05-31,0.216309
2022-06-01,0.223877
2022-06-02,0.229492
2022-06-03,0.239746
2022-06-06,0.228027
